orario di gioco,2024-09-25,2024-09-25,2024-09-26,2024-09-26,2024-09-27,2024-09-27,2024-09-28,2024-09-28,2024-09-29,2024-09-29,2024-09-30,2024-09-30,2024-10-01,2024-10-01,2024-10-02,2024-10-02,2024-10-03,2024-10-03,2024-10-04,2024-10-04,2024-10-05,2024-10-05,2024-10-06,2024-10-06,2024-10-07,2024-10-07,2024-10-08,2024-10-08
,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2,Campo 1,Campo 2
08:00 - 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:30 - 10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00 - 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:30 - 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00 - 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:30 - 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00 - 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:30 - 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00 - 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:30 - 14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00 - 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:30 - 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00 - 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:30 - 16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00 - 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:30 - 17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00 - 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:30 - 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00 - 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:30 - 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:30 - 20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00 - 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:30 - 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00 - 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:30 - 22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00 - 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:30 - 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00 - 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
